session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,list3,28,Burg_alt,Burg,alt,13,HFP,SP,ncblock,building,Burg_alt,burg_alt.png
Pretrain,list3,29,Hemd_klein,Hemd,klein,27,LFP,SN,ncblock,clothing,Hemd_klein,hemd_klein.png
Pretrain,list3,30,Feder_gross,Feder,gross,20,LFP,SN,ncblock,etc,Feder_gross,feder_gross.png
Pretrain,list3,31,Krone_neu,Krone,neu,36,HFP,SP,ncblock,etc,Krone_neu,krone_neu.png
Pretrain,list3,32,Apfel_neu,Apfel,neu,1,LFP,SP,ncblock,food,Apfel_neu,apfel_neu.png
Pretrain,list3,33,Fahrrad_klein,Fahrrad,klein,19,LFP,SN,ncblock,transportation,Fahrrad_klein,fahrrad_klein.png
Pretrain,list3,34,Bett_gross,Bett,gross,4,HFP,SP,ncblock,furniture,Bett_gross,bett_gross.png
Pretrain,list3,35,Topf_gross,Topf,gross,56,HFP,SP,ncblock,tool,Topf_gross,topf_gross.png
Pretrain,list3,36,Kleid_gross,Kleid,gross,35,LFP,SN,ncblock,clothing,Kleid_gross,kleid_gross.png
Pretrain,list3,37,Flagge_alt,Flagge,alt,21,LFP,SP,ncblock,etc,Flagge_alt,flagge_alt.png
Pretrain,list3,38,Nest_klein,Nest,klein,41,HFP,SP,ncblock,building,Nest_klein,nest_klein.png
Pretrain,list3,39,Geschenk_neu,Geschenk,neu,24,LFP,SN,ncblock,etc,Geschenk_neu,geschenk_neu.png
Pretrain,list3,40,Zeitung_alt,Zeitung,alt,62,HFP,SP,ncblock,etc,Zeitung_alt,zeitung_alt.png
Pretrain,list3,41,Hut_klein,Hut,klein,30,LFP,SP,ncblock,clothing,Hut_klein,hut_klein.png
Pretrain,list3,42,Schale_klein,Schale,klein,49,HFP,SN,ncblock,tool,Schale_klein,schale_klein.png
Pretrain,list3,43,Tisch_alt,Tisch,alt,54,LFP,SP,ncblock,furniture,Tisch_alt,tisch_alt.png
Pretrain,list3,44,Wueste_gross,Wueste,gross,61,HFP,SN,ncblock,nature,Wueste_gross,wueste_gross.png
Pretrain,list3,45,Flugzeug_neu,Flugzeug,neu,22,HFP,SP,ncblock,transportation,Flugzeug_neu,flugzeug_neu.png
Pretrain,list3,46,Herd_alt,Herd,alt,28,LFP,SP,ncblock,tool,Herd_alt,herd_alt.png
Pretrain,list3,47,Turm_alt,Turm,alt,58,HFP,SN,ncblock,building,Turm_alt,turm_alt.png
Pretrain,list3,48,Kaffee_neu,Kaffee,neu,31,LFP,SN,ncblock,food,Kaffee_neu,kaffee_neu.png
Pretrain,list3,49,Mantel_alt,Mantel,alt,39,LFP,SP,ncblock,clothing,Mantel_alt,mantel_alt.png
Pretrain,list3,50,Bombe_klein,Bombe,klein,8,HFP,SN,ncblock,etc,Bombe_klein,bombe_klein.png
Pretrain,list3,51,Palast_neu,Palast,neu,43,LFP,SN,ncblock,building,Palast_neu,palast_neu.png
Pretrain,list3,52,Brief_alt,Brief,alt,9,HFP,SN,ncblock,tool,Brief_alt,brief_alt.png
Pretrain,list3,53,Brille_klein,Brille,klein,10,LFP,SP,ncblock,etc,Brille_klein,brille_klein.png
Pretrain,list3,54,Hose_klein,Hose,klein,29,LFP,SP,ncblock,clothing,Hose_klein,hose_klein.png
Pretrain,list3,55,Kamera_neu,Kamera,neu,32,HFP,SN,ncblock,tool,Kamera_neu,kamera_neu.png
Pretrain,list3,56,Fabrik_gross,Fabrik,gross,18,HFP,SP,ncblock,building,Fabrik_gross,fabrik_gross.png
Pretrain,list3,57,Kerze_alt,Kerze,alt,33,LFP,SN,ncblock,etc,Kerze_alt,kerze_alt.png
Pretrain,list3,58,Bus_neu,Bus,neu,14,HFP,SP,ncblock,transportation,Bus_neu,bus_neu.png
Pretrain,list3,59,Paket_alt,Paket,alt,42,LFP,SN,ncblock,etc,Paket_alt,paket_alt.png
Pretrain,list3,60,Tasse_gross,Tasse,gross,52,HFP,SN,ncblock,tool,Tasse_gross,tasse_gross.png
Pretrain,list3,61,Mauer_alt,Mauer,alt,40,HFP,SN,ncblock,building,Mauer_alt,mauer_alt.png
Pretrain,list3,62,Brot_neu,Brot,neu,11,LFP,SP,ncblock,food,Brot_neu,brot_neu.png
Pretrain,list3,63,Zug_alt,Zug,alt,64,LFP,SN,ncblock,transportation,Zug_alt,zug_alt.png
Pretrain,list3,64,Uhr_gross,Uhr,gross,59,HFP,SP,ncblock,tool,Uhr_gross,uhr_gross.png
Pretrain,list3,65,Zelt_alt,Zelt,alt,63,LFP,SN,ncblock,building,Zelt_alt,zelt_alt.png
Pretrain,list3,66,Rad_neu,Rad,neu,46,HFP,SN,ncblock,etc,Rad_neu,rad_neu.png
